credit_card_num,card_code,expire_month,expire_year,card_type,Owner_email
551000000000054,12,11,2031,Master ,tsolman25@nsu.edu
551000000000055,266,7,2027,Master ,ehaspineallfb@nsu.edu
551000000000056,293,6,2032,Master ,esavaageho@nsu.edu
551000000000057,746,9,2031,Master ,ggemmillv@nsu.edu
551000000000058,159,7,2023,Master ,eranfield2x@nsu.edu
551000000000059,944,3,2032,Master ,lpawlyn35@nsu.edu
551000000000060,37,1,2026,Master ,clucianip@nsu.edu
551000000000061,666,6,2031,Master ,mtupperiv@nsu.edu
551000000000062,460,10,2026,Master ,gfulmenr9@nsu.edu
551000000000063,178,9,2032,Master ,ldailyrh@nsu.edu
551000000000064,794,6,2027,Master ,plomaz41@nsu.edu
551000000000065,300,9,2025,Master ,jdesouza63@nsu.edu
551000000000066,987,3,2028,Master ,dpenton8m@nsu.edu
551000000000067,274,4,2023,Master ,dmcraeis@nsu.edu
551000000000068,236,10,2032,Master ,mnekrewse9@nsu.edu
551000000000069,303,11,2031,Master ,dreynard5t@nsu.edu
551000000000070,873,12,2025,Master ,delnaugh2c@nsu.edu
551000000000071,893,12,2025,Master ,tbrightey72@nsu.edu
551000000000072,929,10,2032,Master ,chatchery@nsu.edu
551000000000073,892,5,2025,Master ,ssherston10@nsu.edu
551000000000074,901,9,2031,Master ,bgeyton1r@nsu.edu
551000000000075,861,6,2023,Master ,awackett4i@nsu.edu
551000000000076,228,5,2030,Master ,bmulleary5z@nsu.edu
551000000000077,813,1,2029,Master ,nhargrove7s@nsu.edu
551000000000078,901,8,2025,Master ,adudderidgen5@nsu.edu
551000000000079,536,5,2031,Master ,bwalenta3x@nsu.edu
551000000000080,87,10,2032,Master ,sdicarli8m@nsu.edu
551000000000081,484,7,2023,Master ,swalletta2@nsu.edu
551000000000082,571,7,2026,Master ,lthackham2x@nsu.edu
551000000000083,0,10,2028,Master ,vizaac3w@nsu.edu
551000000000084,854,2,2029,Master ,jjiracekqy@nsu.edu
551000000000085,752,3,2032,Master ,cwingeatti4@nsu.edu
551000000000086,885,6,2030,Master ,pslidders4f@nsu.edu
551000000000087,591,7,2025,Master ,gechalieh4@nsu.edu
551000000000088,854,1,2024,Master ,chatchettelo@nsu.edu
551000000000089,234,7,2032,Master ,rgontiernv@nsu.edu
551000000000090,789,11,2028,Master ,gdruce2z@nsu.edu
551000000000091,5,2,2027,Master ,lsteptowaq@nsu.edu
551000000000092,798,9,2023,Master ,esarlebc@nsu.edu
551000000000093,125,1,2024,Master ,sloughtonkq@nsu.edu
551000000000094,260,11,2031,Master ,cshinnp3@nsu.edu
551000000000095,391,3,2029,Master ,mwhiskera4@nsu.edu
551000000000096,641,3,2028,Master ,vpeate3@nsu.edu
551000000000097,465,11,2025,Master ,gphorsbygd@nsu.edu
551000000000098,678,4,2027,Master ,cdemarcohd@nsu.edu
551000000000099,694,3,2024,Master ,rluckiehl@nsu.edu
551000000000100,880,7,2032,Master ,wbuschn6@nsu.edu
551000000000101,60,1,2029,Master ,mortsmannoi@nsu.edu
551000000000102,330,11,2025,Master ,wosmond5y@nsu.edu
551000000000103,0,1,2031,Master ,edigginson6q@nsu.edu
551000000000104,758,2,2031,Master ,llawrenceson72@nsu.edu
551000000000105,664,3,2029,Master ,rgurnera@nsu.edu
551000000000106,848,1,2026,Master ,cstrooband1i@nsu.edu
551000000000107,157,4,2026,Master ,kmayb9@nsu.edu
551000000000108,430,11,2024,Master ,ndeyeh2@nsu.edu
551000000000109,720,10,2025,Master ,ltomaszynski8x@nsu.edu
551000000000110,917,2,2031,Master ,mdumbellqm@nsu.edu
551000000000111,856,6,2031,Master ,enesbit1n@nsu.edu
551000000000112,509,2,2026,Master ,wdelongcw@nsu.edu
551000000000113,930,12,2025,Master ,baccumgg@nsu.edu
551000000000114,936,9,2031,Master ,bspencleyka@nsu.edu
551000000000115,69,3,2028,Master ,hcanero7v@nsu.edu
551000000000116,561,10,2028,Master ,cwintertoni8@nsu.edu
551000000000117,777,10,2029,Master ,strusslovekn@nsu.edu
551000000000118,880,8,2032,Master ,hpingstonelk@nsu.edu
551000000000119,243,7,2028,Master ,kperrelle58@nsu.edu
551000000000120,795,9,2032,Master ,pshillingford7v@nsu.edu
551000000000121,639,12,2031,Master ,hpetriello8f@nsu.edu
551000000000122,312,4,2027,Master ,tcoulman60@nsu.edu
551000000000123,454,4,2031,Master ,mbernasekrm@nsu.edu
551000000000124,974,2,2024,Master ,tduffet96@nsu.edu
551000000000125,236,9,2027,Master ,prolfinia2@nsu.edu
551000000000126,179,12,2030,Master ,mwattsen@nsu.edu
551000000000127,36,1,2032,Master ,sfearnsides6v@nsu.edu
551000000000128,226,3,2029,Master ,astriker7i@nsu.edu
551000000000129,509,7,2030,Master ,nmcgeachie8o@nsu.edu
551000000000130,409,9,2032,Master ,sgeratasch3x@nsu.edu
551000000000131,263,3,2025,Master ,tbice4s@nsu.edu
551000000000132,66,10,2025,Master ,lscrimshireae@nsu.edu
551000000000133,771,1,2029,Master ,aforsythay@nsu.edu
551000000000134,634,4,2029,Master ,adaybornei9@nsu.edu
551000000000135,460,6,2030,Master ,smaricin@nsu.edu
551000000000136,787,6,2023,Master ,eferandezks@nsu.edu
551000000000137,120,12,2031,Master ,mlammers4h@nsu.edu
551000000000138,436,1,2032,Master ,mwoodwingew@nsu.edu
551000000000139,86,6,2031,Master ,gmossdalegt@nsu.edu
551000000000140,903,3,2026,Master ,bknolesou@nsu.edu
551000000000141,312,1,2026,Master ,mdillimorepu@nsu.edu
551000000000142,70,12,2024,Master ,cexcell7k@nsu.edu
551000000000143,684,6,2026,Master ,ztakos8z@nsu.edu
551000000000144,968,10,2029,Master ,jcory4w@nsu.edu
551000000000145,653,6,2026,Master ,aromanettiju@nsu.edu
551000000000146,119,11,2031,Master ,dnorcockl8@nsu.edu
551000000000147,896,9,2030,Master ,aferencowicznt@nsu.edu
551000000000148,845,3,2027,Master ,hmarzelord@nsu.edu
551000000000149,486,3,2026,Master ,sdougillc7@nsu.edu
551000000000150,736,8,2027,Master ,cmertinch@nsu.edu
551000000000151,474,3,2024,Master ,kcripwellx@nsu.edu
551000000000152,583,12,2031,Master ,rshiel3a@nsu.edu
551000000000153,834,4,2024,Master ,hmell7q@nsu.edu
551000000000154,677,8,2028,Master ,vyakovliv9v@nsu.edu
551000000000155,954,4,2027,Master ,rpabloslc@nsu.edu
551000000000156,494,12,2025,Master ,dgorelli1n@nsu.edu
551000000000157,309,1,2026,Master ,hrusse2t@nsu.edu
551000000000158,693,11,2029,Master ,fdantesiamt@nsu.edu
551000000000159,709,2,2026,Master ,mpinnijarp1@nsu.edu
551000000000160,992,7,2029,Master ,bmolenpy@nsu.edu
551000000000161,228,7,2030,Master ,ctapp2@nsu.edu
551000000000162,386,4,2027,Master ,ldugood3f@nsu.edu
551000000000163,891,3,2031,Master ,nkimmings9i@nsu.edu
551000000000164,378,2,2030,Master ,cmcian9s@nsu.edu
551000000000165,813,2,2026,Master ,mkoeneau@nsu.edu
551000000000166,5,12,2024,Master ,htaylor74@nsu.edu
551000000000167,544,1,2031,Master ,lcicchinellib5@nsu.edu
551000000000168,623,2,2029,Master ,ejakoviljevic47@nsu.edu
551000000000169,305,7,2024,Master ,bclaussen5c@nsu.edu
551000000000170,175,6,2024,Master ,msemper81@nsu.edu
551000000000171,670,3,2029,Master ,hprattefv@nsu.edu
551000000000172,908,1,2026,Master ,brapport8y@nsu.edu
551000000000173,192,10,2031,Master ,bsimonsbi@nsu.edu
551000000000174,367,5,2031,Master ,dgoodbarrq@nsu.edu
551000000000175,578,4,2030,Master ,jlevecl@nsu.edu
551000000000176,297,11,2026,Master ,jferreamr@nsu.edu
551000000000177,209,6,2025,Master ,mkittero3@nsu.edu
551000000000178,174,12,2030,Master ,psarfat78@nsu.edu
551000000000179,381,8,2028,Master ,lcrebbingm@nsu.edu
551000000000180,278,12,2026,Master ,jbirtley45@nsu.edu
551000000000181,82,7,2028,Master ,mmaywardbb@nsu.edu
551000000000182,212,1,2023,Master ,edumberellfd@nsu.edu
551000000000183,512,8,2027,Master ,rrobuchonhr@nsu.edu
551000000000184,169,8,2028,Master ,pmcchruiterlg@nsu.edu
551000000000185,971,1,2026,Master ,fcapronqr@nsu.edu
551000000000186,174,1,2029,Master ,smcavaddy1l@nsu.edu
551000000000187,914,8,2026,Master ,vnottingham33@nsu.edu
551000000000188,62,10,2032,Master ,wayrs5d@nsu.edu
551000000000189,201,3,2025,Master ,ebeddinggc@nsu.edu
551000000000190,659,2,2026,Master ,rblankoig@nsu.edu
551000000000191,53,12,2024,Master ,nclutramn3@nsu.edu
551000000000192,540,5,2027,Master ,mblaisepa@nsu.edu
551000000000193,420,12,2024,Master ,nlawb2@nsu.edu
551000000000194,333,5,2025,Master ,drubyq3@nsu.edu
551000000000195,200,11,2024,Master ,tdougher1o@nsu.edu
551000000000196,758,2,2024,Master ,tpolinijo@nsu.edu
551000000000197,657,4,2027,Master ,ecarlyonkd@nsu.edu
551000000000198,182,4,2031,Master ,bgarrawaym6@nsu.edu
551000000000199,623,5,2024,Master ,jsnowballpc@nsu.edu
551000000000200,436,9,2028,Master ,clutsch5u@nsu.edu
551000000000201,309,6,2029,Master ,dfeige2f@nsu.edu
551000000000202,258,7,2032,Master ,wucceli3y@nsu.edu
551000000000203,614,4,2024,Master ,gnorley6r@nsu.edu
551000000000204,628,2,2026,Master ,pwareingf9@nsu.edu
551000000000205,268,2,2026,Master ,jketchn4@nsu.edu
551000000000206,636,1,2032,Master ,sodriscolln5@nsu.edu
551000000000207,611,3,2030,Master ,dwimmersq4@nsu.edu
551000000000208,183,9,2024,Master ,cgrigoriscu6m@nsu.edu
551000000000209,508,1,2024,Master ,vspraggscg@nsu.edu
551000000000210,14,3,2031,Master ,aclorley95@nsu.edu
551000000000211,323,6,2031,Master ,jgarrood8v@nsu.edu
551000000000212,289,2,2031,Master ,swonterql@nsu.edu
551000000000213,180,10,2023,Master ,mdrysdaleb@nsu.edu
551000000000214,539,3,2032,Master ,ecomollipo@nsu.edu
551000000000215,874,6,2030,Master ,fmackeanqh@nsu.edu
551000000000216,160,8,2025,Master ,ecatford2c@nsu.edu
551000000000217,221,2,2026,Master ,kboot8h@nsu.edu
551000000000218,690,7,2025,Master ,mbabonau82@nsu.edu
551000000000219,262,7,2030,Master ,jgrelakcj@nsu.edu
551000000000220,478,2,2025,Master ,lmcmanusmc@nsu.edu
551000000000221,42,3,2026,Master ,garnaez5e@nsu.edu
551000000000222,269,7,2032,Master ,amortimer7z@nsu.edu
551000000000223,465,1,2030,Master ,vbarkedq@nsu.edu
551000000000224,802,7,2031,Master ,rfinnie7m@nsu.edu
551000000000225,336,3,2024,Master ,iblest99@nsu.edu
551000000000226,405,11,2026,Master ,sdavid1y@nsu.edu
551000000000227,863,12,2028,Master ,gkubesbn@nsu.edu
551000000000228,373,11,2023,Master ,rwhickmanc8@nsu.edu
551000000000229,618,3,2023,Master ,mkringe12@nsu.edu
551000000000230,928,9,2029,Master ,bcorradino2c@nsu.edu
551000000000231,332,10,2025,Master ,lcully3l@nsu.edu
551000000000232,755,8,2029,Master ,vgemelli4e@nsu.edu
551000000000233,304,4,2023,Master ,spurkissaf@nsu.edu
551000000000234,166,9,2025,Master ,lcutting5@nsu.edu
551000000000235,505,3,2026,Master ,abloschkegl@nsu.edu
551000000000236,758,9,2031,Master ,hlipyeatjn@nsu.edu
551000000000237,444,11,2028,Master ,ecortingq@nsu.edu
551000000000238,806,1,2026,Master ,spinwillhg@nsu.edu
551000000000239,315,1,2025,Master ,acastelliji@nsu.edu
551000000000240,48,11,2024,Master ,rswanbournemn@nsu.edu
551000000000241,557,4,2024,Master ,lmapis1x@nsu.edu
551000000000242,402,1,2023,Master ,ttorril2@nsu.edu
551000000000243,484,11,2030,Master ,redie1s@nsu.edu
551000000000244,582,12,2032,Master ,mgitsham4k@nsu.edu
551000000000245,43,3,2031,Master ,gwerendellez@nsu.edu
551000000000246,998,10,2024,Master ,dpeyntueqp@nsu.edu
551000000000247,797,9,2024,Master ,jmclellan9@nsu.edu
551000000000248,190,9,2030,Master ,gheritya3@nsu.edu
551000000000249,471,7,2031,Master ,smenlowjx@nsu.edu
551000000000250,992,4,2031,Master ,bqueenni@nsu.edu
551000000000251,778,9,2028,Master ,uwoganqn@nsu.edu
551000000000252,137,5,2032,Master ,rdeniseau93@nsu.edu
551000000000253,398,7,2025,Master ,gbalas91@nsu.edu
551000000000254,75,3,2030,Master ,fmcaviyjz@nsu.edu
551000000000255,530,5,2030,Master ,gfforde16@nsu.edu
551000000000256,621,10,2024,Master ,ceskrick3h@nsu.edu
551000000000257,912,11,2023,Master ,dmcgeachie7y@nsu.edu
551000000000258,250,11,2025,Master ,vcrix93@nsu.edu
551000000000259,497,11,2027,Master ,wcrannaau@nsu.edu
551000000000260,536,12,2031,Master ,gghidellijb@nsu.edu
551000000000261,106,1,2025,Master ,pmacrinnkt@nsu.edu
551000000000262,651,3,2026,Master ,mcapron7d@nsu.edu
551000000000263,858,5,2025,Master ,ebradderlw@nsu.edu
551000000000264,54,5,2030,Master ,ohardsonn3@nsu.edu
551000000000265,144,7,2026,Master ,tdykesd@nsu.edu
551000000000266,435,2,2029,Master ,npuckette@nsu.edu
551000000000267,717,12,2025,Master ,kmoncreifff2@nsu.edu
551000000000268,769,3,2027,Master ,bschoffelh5@nsu.edu
551000000000269,693,7,2024,Master ,mswalwel9b@nsu.edu
551000000000270,360,10,2032,Master ,daburrowbn@nsu.edu
551000000000271,621,1,2026,Master ,gallwarddm@nsu.edu
551000000000272,430,11,2027,Master ,abockeec@nsu.edu
551000000000273,938,6,2024,Master ,rbastonemx@nsu.edu
551000000000274,609,11,2027,Master ,rraweso7@nsu.edu
551000000000275,581,5,2024,Master ,sbarwello9@nsu.edu
551000000000276,772,11,2032,Master ,egaffeym@nsu.edu
551000000000277,576,4,2029,Master ,tallewell9x@nsu.edu
551000000000278,78,10,2029,Master ,zschoenrockb3@nsu.edu
551000000000279,12,1,2032,Master ,hivakhin9i@nsu.edu
551000000000280,317,5,2024,Master ,phew2q@nsu.edu
551000000000281,297,1,2032,Master ,rdevaan2s@nsu.edu
551000000000282,518,2,2024,Master ,focoskerry8s@nsu.edu
551000000000283,500,11,2023,Master ,slarrawaybn@nsu.edu
551000000000284,306,7,2025,Master ,rlevicountdl@nsu.edu
551000000000285,124,7,2032,Master ,gbuncomke@nsu.edu
551000000000286,732,4,2030,Master ,csamudiolc@nsu.edu
551000000000287,84,11,2027,Master ,jnorquay39@nsu.edu
551000000000288,662,12,2031,Master ,cevans4t@nsu.edu
551000000000289,964,4,2023,Master ,dbussy7p@nsu.edu
551000000000290,656,1,2025,Master ,ogoulborn88@nsu.edu
551000000000291,997,8,2032,Master ,etolchardeap@nsu.edu
551000000000292,243,2,2023,Master ,kfeeney30@nsu.edu
551000000000293,328,8,2030,Master ,gambrosch35@nsu.edu
551000000000294,243,9,2024,Master ,hjedras68@nsu.edu
551000000000295,548,11,2031,Master ,ghandsoy@nsu.edu
551000000000296,28,10,2029,Master ,mharbord54@nsu.edu
551000000000297,400,11,2030,Master ,rludlamme5o@nsu.edu
551000000000298,273,7,2028,Master ,fpulley6i@nsu.edu
551000000000299,666,5,2024,Master ,hbarghbl@nsu.edu
551000000000300,950,4,2024,Master ,rmcallanhq@nsu.edu
551000000000301,570,9,2031,Master ,lphelanii@nsu.edu
551000000000302,91,4,2030,Master ,aaristidejc@nsu.edu
551000000000303,295,11,2030,Master ,tbleazardjy@nsu.edu
551000000000304,741,3,2026,Master ,wbowlesmf@nsu.edu
551000000000305,629,11,2024,Master ,agatus22@nsu.edu
551000000000306,176,1,2027,Master ,mwalkey4v@nsu.edu
551000000000307,949,10,2031,Master ,dmetson15@nsu.edu
551000000000308,215,12,2027,Master ,gbealar@nsu.edu
551000000000309,455,10,2028,Master ,rmacgilmartinat@nsu.edu
551000000000310,600,3,2026,Master ,lbuttrickpr@nsu.edu
551000000000311,413,8,2025,Master ,lbrockherst6r@nsu.edu
551000000000312,484,5,2026,Master ,jpartnerct@nsu.edu
551000000000313,890,9,2026,Master ,dvasyushkhinea@nsu.edu
551000000000314,46,8,2025,Master ,wlittlewoodom@nsu.edu
551000000000315,359,6,2031,Master ,zclemoes1m@nsu.edu
551000000000316,946,12,2029,Master ,lcrockford4q@nsu.edu
551000000000317,160,3,2029,Master ,rpikesley7h@nsu.edu
551000000000318,806,2,2023,Master ,amoizer8w@nsu.edu
551000000000319,317,4,2023,Master ,jwooderson5q@nsu.edu
551000000000320,30,9,2030,Master ,amoggan70@nsu.edu
551000000000321,620,12,2031,Master ,mfairhamf0@nsu.edu
551000000000322,853,9,2028,Master ,iciobotarujm@nsu.edu
551000000000323,604,9,2026,Master ,ssextonekt@nsu.edu
551000000000324,797,2,2027,Master ,lfennak@nsu.edu
551000000000325,690,6,2029,Master ,msawday22@nsu.edu
551000000000326,335,1,2024,Master ,lnoden2p@nsu.edu
551000000000327,481,11,2028,Master ,mmckinstry4v@nsu.edu
551000000000328,604,9,2031,Master ,hyurocjhinbk@nsu.edu
551000000000329,913,8,2030,Master ,lmcgaughayrq@nsu.edu
551000000000330,474,11,2032,Master ,aendon1o@nsu.edu
551000000000331,490,3,2027,Master ,womara8l@nsu.edu
551000000000332,530,12,2026,Master ,ktristramak@nsu.edu
551000000000333,24,7,2027,Master ,mkittley1c@nsu.edu
551000000000334,920,2,2024,Master ,syerbury8y@nsu.edu
551000000000335,535,3,2024,Master ,khaglintona1@nsu.edu
551000000000336,255,7,2029,Master ,amuatcx@nsu.edu
551000000000337,714,2,2032,Master ,dtelegaib@nsu.edu
551000000000338,768,3,2027,Master ,hhardesty5@nsu.edu
551000000000339,98,11,2027,Master ,olouis1t@nsu.edu
551000000000340,383,6,2030,Master ,thaggardar@nsu.edu
551000000000341,615,3,2029,Master ,nfazackerley2a@nsu.edu
551000000000342,12,5,2023,Master ,sfurmston2k@nsu.edu
551000000000343,700,10,2030,Master ,jthwaite4l@nsu.edu
551000000000344,841,7,2023,Master ,bollerhead6v@nsu.edu
551000000000345,57,4,2025,Master ,eangelod3@nsu.edu
551000000000346,426,9,2024,Master ,chazeldeankg@nsu.edu
551000000000347,214,3,2023,Master ,ssorleyn9@nsu.edu
551000000000348,544,3,2028,Master ,tplaisterny@nsu.edu
551000000000349,593,7,2031,Master ,lchatin6y@nsu.edu
551000000000350,82,1,2031,Master ,ikennerknechtce@nsu.edu
551000000000351,232,9,2032,Master ,plucianohn@nsu.edu
551000000000352,803,8,2027,Master ,skarliklp@nsu.edu
551000000000353,48,7,2023,Master ,ctreskemw@nsu.edu
551000000000354,731,10,2032,Master ,vladbury5b@nsu.edu
551000000000355,563,5,2030,Master ,lfiggera6@nsu.edu
551000000000356,836,11,2029,Master ,jkittel3d@nsu.edu
551000000000357,531,7,2030,Master ,crizzillo6g@nsu.edu
551000000000358,168,8,2023,Master ,twhiteareq@nsu.edu
551000000000359,507,3,2027,Master ,divantsovgz@nsu.edu
551000000000360,887,1,2023,Master ,ameganyhn@nsu.edu
551000000000361,738,10,2024,Master ,ielecumku@nsu.edu
551000000000362,48,3,2028,Master ,awardernz@nsu.edu
551000000000363,125,11,2028,Master ,abeedomo8@nsu.edu
551000000000364,677,5,2027,Master ,agomer8h@nsu.edu
551000000000365,972,12,2023,Master ,egullyhv@nsu.edu
551000000000366,542,9,2028,Master ,gbunyanoj@nsu.edu
551000000000367,885,3,2031,Master ,hcrusq6@nsu.edu
551000000000368,788,10,2030,Master ,fdickmanr5@nsu.edu
551000000000369,970,2,2029,Master ,kstellman3d@nsu.edu
551000000000370,115,1,2032,Master ,dsandham5p@nsu.edu
551000000000371,463,5,2025,Master ,bmaclaverty2v@nsu.edu
551000000000372,233,11,2030,Master ,ksnoddy38@nsu.edu
551000000000373,26,2,2029,Master ,wspadelli8j@nsu.edu
551000000000374,365,10,2024,Master ,echristofides8n@nsu.edu
551000000000375,917,5,2026,Master ,ihannondki@nsu.edu
551000000000376,179,8,2023,Master ,zcorssenm9@nsu.edu
551000000000377,319,9,2029,Master ,gdinsmoreq@nsu.edu
551000000000378,148,7,2032,Master ,tmassyu@nsu.edu
551000000000379,94,1,2030,Master ,rwallace3e@nsu.edu
551000000000380,590,11,2023,Master ,bhardi4k@nsu.edu
551000000000381,101,7,2031,Master ,pjewel9h@nsu.edu
551000000000382,126,9,2024,Master ,jokiebt@nsu.edu
551000000000383,821,10,2032,Master ,cbroadbridgelf@nsu.edu
551000000000384,490,6,2030,Master ,tjarreltof@nsu.edu
551000000000385,992,6,2028,Master ,smulford5n@nsu.edu
551000000000386,328,7,2026,Master ,nbonafacinoat@nsu.edu
551000000000387,153,2,2028,Master ,bvanichkov6k@nsu.edu
551000000000388,214,1,2029,Master ,ebaudyfv@nsu.edu
551000000000389,198,11,2026,Master ,csnook2u@nsu.edu
551000000000390,214,9,2029,Master ,sgeorgeotb7@nsu.edu
551000000000391,677,11,2025,Master ,lhauckedb@nsu.edu
551000000000392,665,8,2029,Master ,pmilsomh7@nsu.edu
551000000000393,530,5,2029,Master ,clealjm@nsu.edu
551000000000394,142,12,2029,Master ,lorrickl4@nsu.edu
551000000000395,299,10,2025,Master ,csimkovitznm@nsu.edu
551000000000396,941,12,2024,Master ,smaccrea9e@nsu.edu
551000000000397,119,5,2030,Master ,dthorowgood2p@nsu.edu
551000000000398,727,1,2031,Master ,icabbell32@nsu.edu
551000000000399,841,6,2031,Master ,mlisleai@nsu.edu
551000000000400,121,1,2025,Master ,gpantridgebr@nsu.edu
551000000000401,695,3,2028,Master ,cstrangewaysos@nsu.edu
551000000000402,832,11,2032,Master ,acinellid6@nsu.edu
551000000000403,808,1,2023,Master ,cparratton@nsu.edu
551000000000404,557,5,2027,Master ,iscade6j@nsu.edu
551000000000405,674,6,2024,Master ,jlongshawgb@nsu.edu
551000000000406,10,10,2024,Master ,rgoulbornegn@nsu.edu
551000000000407,742,3,2032,Master ,jkruszelnickik3@nsu.edu
551000000000408,99,1,2029,Master ,bsimonssonp6@nsu.edu
551000000000409,118,5,2023,Master ,dgotcliffe73@nsu.edu
551000000000410,859,4,2028,Master ,dconkaya9@nsu.edu
551000000000411,847,3,2029,Master ,rgleesonk9@nsu.edu
551000000000412,329,1,2030,Master ,dantrackkf@nsu.edu
551000000000413,365,2,2023,Master ,cboundemh@nsu.edu
551000000000414,140,12,2028,Master ,imiddlehurstnv@nsu.edu
551000000000415,604,2,2031,Master ,alowman1p@nsu.edu
551000000000416,888,12,2030,Master ,llescop5x@nsu.edu
551000000000417,838,2,2025,Master ,bbauldrey18@nsu.edu
551000000000418,477,6,2025,Master ,dtellwrightcv@nsu.edu
551000000000419,384,6,2026,Master ,shundellz@nsu.edu
551000000000420,564,11,2024,Master ,ytritton3w@nsu.edu
551000000000421,805,1,2025,Master ,jmoodie7a@nsu.edu
551000000000422,888,6,2025,Master ,bhaskayneb9@nsu.edu
551000000000423,479,6,2030,Master ,gmcarte6f@nsu.edu
551000000000424,548,6,2027,Master ,lmacalorenc7@nsu.edu
551000000000425,610,12,2028,Master ,npackfu@nsu.edu
551000000000426,951,1,2030,Master ,abrogioni5p@nsu.edu
551000000000427,294,9,2030,Master ,manster7o@nsu.edu
551000000000428,615,10,2027,Master ,rjanczak9r@nsu.edu
551000000000429,714,4,2025,Master ,kwhithamdj@nsu.edu
551000000000430,992,12,2024,Master ,sjankunl@nsu.edu
551000000000431,41,6,2032,Master ,dbenedttib@nsu.edu
551000000000432,901,2,2031,Master ,fenrrico4@nsu.edu
551000000000433,227,8,2027,Master ,jsoutherns@nsu.edu
551000000000434,219,3,2023,Master ,gshepherdson8k@nsu.edu
551000000000435,344,6,2027,Master ,tmattekgo@nsu.edu
551000000000436,920,3,2031,Master ,glennonqx@nsu.edu
551000000000437,903,5,2025,Master ,adegoeyr4@nsu.edu
551000000000438,627,5,2026,Master ,kgiller1k@nsu.edu
551000000000439,654,8,2032,Master ,floundc0@nsu.edu
551000000000440,370,11,2031,Master ,kshowl12@nsu.edu
551000000000441,232,11,2025,Master ,dpadwick4p@nsu.edu
551000000000442,924,8,2032,Master ,bflaune5a@nsu.edu
551000000000443,468,9,2030,Master ,jhaley6t@nsu.edu
551000000000444,261,11,2028,Master ,mkiernani@nsu.edu
