Buyer_Email,Seller_Email,Rating,Rating_Desc
tizzatt4e@nsu.edu,ghalvorsen95@nsu.edu,2,Not Bad
pnetley4n@nsu.edu,spinwillhg@nsu.edu,2,Not Bad
lbissill4o@nsu.edu,cmaxted8c@nsu.edu,5,Awesome
anassau4p@nsu.edu,kfeeney30@nsu.edu,5,Awesome
toseland4q@nsu.edu,dcordeniw@nsu.edu,5,Awesome
feeles4r@nsu.edu,cosgar8u@nsu.edu,5,Awesome
tbice4s@nsu.edu,ldickinsbh@nsu.edu,5,Awesome
mgeorgi5b@nsu.edu,bspottiswoodhm@nsu.edu,1,Bad
dclearie54@nsu.edu,gmosconegr@nsu.edu,3,Not Bad
mriddler55@nsu.edu,akelby20@drupal.org,1,Bad
cklyner56@nsu.edu,lbyrdgk@nsu.edu,3,Not Bad
zmegroff57@nsu.edu,mlempertz10@yandex.ru,2,Not Bad
cjaquiss58@nsu.edu,zcowl7l@nsu.edu,3,Not Bad
garmer59@nsu.edu,asimonsen7z@nsu.edu,4,Awesome
scribbin5a@nsu.edu,pslidders4f@nsu.edu,1,Bad
dclearie54@nsu.edu,awillderjq@nsu.edu,4,Awesome
ajeffs51@nsu.edu,avenablesi@salon.com,5,Awesome
mgeorgi5b@nsu.edu,cmcallof@nsu.edu,1,Not Bad
kgedney5c@nsu.edu,lsekulla8w@nsu.edu,5,Awesome
jponting5d@nsu.edu,atorrejon3c@nsu.edu,1,Not Bad
mriddler55@nsu.edu,hmccurts@vinaora.com,3,Bad
garmer59@nsu.edu,alillecrop1u@about.com,2,Not Bad
meddington5e@nsu.edu,ofumagalliqv@nsu.edu,2,Bad
landrysek5f@nsu.edu,wsemechikci@nsu.edu,1,Bad
dclearie54@nsu.edu,ttremollet2t@nsu.edu,3,Not Bad
mreeves46@nsu.edu,srubinivitzlu@nsu.edu,5,Awesome
rkorneev47@nsu.edu,ascohiergc@nsu.edu,4,Awesome
tkorting48@nsu.edu,ihannondki@nsu.edu,2,Bad
rwomack49@nsu.edu,avirr66@nsu.edu,1,Bad
atythacott4a@nsu.edu,dgoodenoughgs@nsu.edu,2,Bad
tevangelinos4b@nsu.edu,rscampm5@nsu.edu,5,Awesome
fleere4c@nsu.edu,kkiesselhe@nsu.edu,5,Awesome
kbouzek4d@nsu.edu,tkorting48@nsu.edu,1,Bad
tizzatt4e@nsu.edu,mbuesdennk@nsu.edu,5,Awesome
pslidders4f@nsu.edu,rcayton5r@nsu.edu,4,Awesome
pnetley4n@nsu.edu,selliker1v@ibm.com,2,Not Bad
anassau4p@nsu.edu,rstanwixm3@nsu.edu,4,Awesome
agoly4g@nsu.edu,ehaspineallfb@nsu.edu,5,Awesome
cthumann4h@nsu.edu,onewlindl@nsu.edu,1,Bad
rmcwhin4i@nsu.edu,gdeblaseer@nsu.edu,5,Awesome
gdowtry4j@nsu.edu,vcawr7@nsu.edu,1,Bad
tinch4k@nsu.edu,glibbie7q@nsu.edu,5,Awesome
jthwaite4l@nsu.edu,glibbie7q@nsu.edu,2,Not Bad
rmessham4m@nsu.edu,glibbie7q@nsu.edu,3,Not Bad
pnetley4n@nsu.edu,emillhill6q@nsu.edu,2,Not Bad
lbissill4o@nsu.edu,iciobotarujm@nsu.edu,5,Awesome
anassau4p@nsu.edu,mfairhamf0@nsu.edu,2,Not Bad
toseland4q@nsu.edu,gnorecb@nsu.edu,2,Not Bad
feeles4r@nsu.edu,rgoulbornegn@nsu.edu,5,Awesome
tbice4s@nsu.edu,bspencleyka@nsu.edu,3,Not Bad
hgoolden4t@nsu.edu,hleroy7s@nsu.edu,4,Awesome
myork4u@nsu.edu,dbrigstocko2@nsu.edu,1,Bad
ghankey4v@nsu.edu,nlarhamap@nsu.edu,5,Awesome
jcory4w@nsu.edu,mcrumlyfk@nsu.edu,2,Bad
etroy4x@nsu.edu,jcarvil9@economist.com,3,Not Bad
lundrill4y@nsu.edu,jcarvil9@economist.com,2,Not Bad
gmackall4z@nsu.edu,jboultwoodre@nsu.edu,5,Awesome
myacob50@nsu.edu,jcory4w@nsu.edu,1,Bad
ajeffs51@nsu.edu,pkirklandrq@nsu.edu,1,Bad
olief52@nsu.edu,rkorneichikbg@nsu.edu,4,Awesome
ddimeo53@nsu.edu,aforsythay@nsu.edu,5,Awesome
mgeorgi5b@nsu.edu,kperle7k@nsu.edu,4,Awesome
dclearie54@nsu.edu,cpaulone4@nsu.edu,2,Not Bad
mriddler55@nsu.edu,solooneybx@nsu.edu,3,Not Bad
tkorting48@nsu.edu,dparlettkw@nsu.edu,5,Awesome
rwomack49@nsu.edu,msprackling43@nsu.edu,1,Bad
atythacott4a@nsu.edu,tandino92@nsu.edu,2,Bad
tevangelinos4b@nsu.edu,jwooderson5q@nsu.edu,3,Not Bad
fleere4c@nsu.edu,jgarrood8v@nsu.edu,2,Not Bad
kbouzek4d@nsu.edu,fstodartdu@nsu.edu,3,Not Bad
tizzatt4e@nsu.edu,gescalanteg4@nsu.edu,2,Not Bad
pslidders4f@nsu.edu,gmackall4z@nsu.edu,4,Awesome
pnetley4n@nsu.edu,gmackall4z@nsu.edu,2,Not Bad
anassau4p@nsu.edu,fthunder1p@webs.com,3,Not Bad
agoly4g@nsu.edu,fjacquemypl@nsu.edu,1,Bad
cthumann4h@nsu.edu,edionisiih1@nsu.edu,2,Bad
rmcwhin4i@nsu.edu,lcootesj9@nsu.edu,3,Not Bad
gdowtry4j@nsu.edu,mashling8s@nsu.edu,5,Awesome
tinch4k@nsu.edu,ccolteneh@nsu.edu,2,Not Bad
jthwaite4l@nsu.edu,bparkenl7@nsu.edu,3,Not Bad
rmessham4m@nsu.edu,itompkinson28@pcworld.com,1,Bad
pnetley4n@nsu.edu,lcuffehv@nsu.edu,3,Not Bad
lbissill4o@nsu.edu,vrissonh@nsu.edu,2,Not Bad
anassau4p@nsu.edu,dabelson7x@nsu.edu,2,Not Bad
toseland4q@nsu.edu,jberntjd@nsu.edu,1,Bad
feeles4r@nsu.edu,ituppm2@nsu.edu,3,Not Bad
tbice4s@nsu.edu,vconquest69@nsu.edu,4,Awesome
hgoolden4t@nsu.edu,ebullardig@nsu.edu,2,Not Bad
myork4u@nsu.edu,dgurge15@jimdo.com,5,Awesome
ghankey4v@nsu.edu,belfordb@yahoo.co.jp,1,Bad
jcory4w@nsu.edu,eorrick96@nsu.edu,3,Not Bad
etroy4x@nsu.edu,psarfat78@nsu.edu,1,Bad
lundrill4y@nsu.edu,rwomack49@nsu.edu,2,Bad
gmackall4z@nsu.edu,eovenden5y@nsu.edu,5,Awesome
myacob50@nsu.edu,whasnney2b@biblegateway.com,3,Not Bad
ajeffs51@nsu.edu,mromayniq@nsu.edu,2,Bad
olief52@nsu.edu,mromayniq@nsu.edu,5,Awesome
ddimeo53@nsu.edu,mromayniq@nsu.edu,3,Not Bad
mgeorgi5b@nsu.edu,fcapronqr@nsu.edu,2,Not Bad
dclearie54@nsu.edu,lmcmanusmc@nsu.edu,1,Bad
mriddler55@nsu.edu,lthornberbk@nsu.edu,3,Not Bad
cklyner56@nsu.edu,pstartehp@nsu.edu,4,Awesome
zmegroff57@nsu.edu,gechalieh4@nsu.edu,2,Not Bad
cjaquiss58@nsu.edu,eswanbourneq0@nsu.edu,3,Not Bad
garmer59@nsu.edu,shaydones@nsu.edu,3,Not Bad
scribbin5a@nsu.edu,lcicchinellib5@nsu.edu,2,Bad
dclearie54@nsu.edu,jjewettjh@nsu.edu,3,Not Bad
ajeffs51@nsu.edu,rvanderhoeven9h@nsu.edu,2,Not Bad
mgeorgi5b@nsu.edu,tizzatt4e@nsu.edu,1,Bad
kgedney5c@nsu.edu,abartoszek16@reuters.com,2,Not Bad
jponting5d@nsu.edu,ctelezhking7@nsu.edu,3,Not Bad
mriddler55@nsu.edu,elyfecx@nsu.edu,5,Awesome
garmer59@nsu.edu,adebellis2@mit.edu,3,Not Bad
meddington5e@nsu.edu,rbuchankl@nsu.edu,5,Awesome
landrysek5f@nsu.edu,abithellon@nsu.edu,2,Not Bad
dclearie54@nsu.edu,cdiffley5w@nsu.edu,5,Awesome
mreeves46@nsu.edu,nscougallba@nsu.edu,3,Not Bad
rkorneev47@nsu.edu,naspcu@nsu.edu,3,Not Bad
tkorting48@nsu.edu,dairthno@nsu.edu,4,Not Bad
rwomack49@nsu.edu,jthwaite4l@nsu.edu,3,Not Bad
atythacott4a@nsu.edu,ebromagei6@nsu.edu,2,Not Bad
tevangelinos4b@nsu.edu,mtuxell5t@nsu.edu,3,Not Bad
fleere4c@nsu.edu,cjedrzejewskypo@nsu.edu,1,Bad
kbouzek4d@nsu.edu,hjehaes86@nsu.edu,2,Bad
tizzatt4e@nsu.edu,jkruszelnickik3@nsu.edu,5,Awesome
pslidders4f@nsu.edu,oflahiveif@nsu.edu,2,Bad
pnetley4n@nsu.edu,oflahiveif@nsu.edu,4,Awesome
anassau4p@nsu.edu,oflahiveif@nsu.edu,5,Awesome
agoly4g@nsu.edu,kbennike0@merriam-webster.com,1,Bad
cthumann4h@nsu.edu,ikneesha3v@nsu.edu,2,Bad
rmcwhin4i@nsu.edu,cdutnallr1@nsu.edu,4,Awesome
gdowtry4j@nsu.edu,hcapellee6@nsu.edu,2,Not Bad
tinch4k@nsu.edu,hreavellhk@nsu.edu,5,Awesome
jthwaite4l@nsu.edu,gdignall3j@nsu.edu,3,Not Bad
rmessham4m@nsu.edu,cpennettalf@nsu.edu,2,Bad
pnetley4n@nsu.edu,ahaskerjg@nsu.edu,1,Bad
lbissill4o@nsu.edu,cdullardbp@nsu.edu,3,Not Bad
anassau4p@nsu.edu,cfridpm@nsu.edu,3,Not Bad
toseland4q@nsu.edu,mamymo@nsu.edu,4,Not Bad
feeles4r@nsu.edu,pboundey37@nsu.edu,2,Bad
tbice4s@nsu.edu,eparmanpy@nsu.edu,3,Not Bad
hgoolden4t@nsu.edu,pclampettfg@nsu.edu,5,Awesome
myork4u@nsu.edu,bdenevehs@nsu.edu,3,Not Bad
ghankey4v@nsu.edu,mbuddenqw@nsu.edu,4,Not Bad
jcory4w@nsu.edu,cceaser3h@nsu.edu,3,Not Bad
etroy4x@nsu.edu,strenamanhu@nsu.edu,5,Awesome
lundrill4y@nsu.edu,pbortolazziol@nsu.edu,2,Bad
gmackall4z@nsu.edu,zcornillibb@nsu.edu,1,Bad
myacob50@nsu.edu,gearngycp@nsu.edu,5,Awesome
ajeffs51@nsu.edu,tgettonei8@nsu.edu,1,Bad
olief52@nsu.edu,gpendry79@nsu.edu,4,Awesome
ddimeo53@nsu.edu,kwilcockesfx@nsu.edu,5,Awesome
mgeorgi5b@nsu.edu,kwilcockesfx@nsu.edu,4,Awesome
mriddler55@nsu.edu,wfranzenct@nsu.edu,1,Bad
garmer59@nsu.edu,wfranzenct@nsu.edu,2,Not Bad
meddington5e@nsu.edu,ecortingq@nsu.edu,4,Awesome
landrysek5f@nsu.edu,ecortingq@nsu.edu,5,Awesome
dclearie54@nsu.edu,nrideoutmi@nsu.edu,5,Awesome
mreeves46@nsu.edu,nrideoutmi@nsu.edu,4,Awesome
rkorneev47@nsu.edu,ndutchburnel@nsu.edu,2,Bad
tkorting48@nsu.edu,wlaurancegt@nsu.edu,3,Not Bad
rwomack49@nsu.edu,wlaurancegt@nsu.edu,2,Bad
atythacott4a@nsu.edu,wlaurancegt@nsu.edu,3,Not Bad
tevangelinos4b@nsu.edu,rdichee@adobe.com,5,Awesome
fleere4c@nsu.edu,dmccritchiej3@nsu.edu,3,Not Bad
kbouzek4d@nsu.edu,ghalvorsen95@nsu.edu,2,Not Bad
tizzatt4e@nsu.edu,ghalvorsen95@nsu.edu,2,Not Bad
pslidders4f@nsu.edu,predittjv@nsu.edu,3,Not Bad
pnetley4n@nsu.edu,dnaughton9f@nsu.edu,2,Not Bad
anassau4p@nsu.edu,rpointn@globo.com,3,Not Bad
agoly4g@nsu.edu,wspadelli8j@nsu.edu,4,Awesome
cthumann4h@nsu.edu,wspadelli8j@nsu.edu,4,Awesome
